Hachi: A Dog's Tale,2009,Lasse Hallström,Richard Gere|Joan Allen,8.0
Dunkirk,2017,Christopher Nolan,Fionn Whitehead|Tom Glynn-Carney,7.3
12 Years a Slave,2013,Steve McQueen,Chiwetel Ejiofor|Michael Fassbender,7.5
District 9,2009,Neill Blomkamp,Sharlto Copley|Jason Cope,7.1
American Psycho,2000,Mary Harron,Christian Bale|Willem Dafoe,7.3
The Chronicles of Narnia: The Lion the Witch and the Wardrobe,2005,Andrew Adamson,William Moseley|Anna Popplewell,7.0
Psycho,1960,Alfred Hitchcock,Anthony Perkins|Vera Miles,8.1
Lost in Translation,2003,Sofia Coppola,Bill Murray|Scarlett Johansson,7.4
Iron Man 3,2013,Shane Black,Robert Downey Jr.|Gwyneth Paltrow,7.4
Frozen,2013,Chris Buck,None,7.6
Up,2009,Pete Docter,None,7.5
The Bourne Identity,2002,Doug Liman,Matt Damon|Franka Potente,7.6
Roza,2011,Wojciech Smarzowski,Marcin Dorocinski|Agata Kulesza,7.8
Armageddon,1998,Michael Bay,Bruce Willis|Billy Bob Thornton,7.4
Full Metal Jacket,1987,Stanley Kubrick,Matthew Modine|Adam Baldwin,8.0
Crazy Stupid Love.,2011,Glenn Ficarra,Steve Carell|Ryan Gosling,7.4
Shrek 2,2004,Andrew Adamson,None,7.4
Green Book,2018,Peter Farrelly,Viggo Mortensen|Mahershala Ali,8.3
Skazany na bluesa,2005,Jan Kidawa-Blonski,Tomasz Kot|Jolanta Fraszynska,7.5
The Ninth Gate,1999,Roman Polanski,Johnny Depp|Frank Langella,7.3
Ex Machina,2015,Alex Garland,Domhnall Gleeson|Oscar Isaac,7.3
Lucy,2014,Luc Besson,Scarlett Johansson|Morgan Freeman,6.4
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,Jim Carrey|Kate Winslet,7.3
Guardians of the Galaxy,2014,James Gunn,Chris Pratt|Zoe Saldana,7.5
